entry_time,exit_time,entry_price,exit_price,pnl
2024-01-31 22:15:00+00:00,2024-01-31 23:55:00+00:00,0.6482,0.6585,107.56653039185403
2024-02-01 00:55:00+00:00,2024-02-01 01:40:00+00:00,0.6719,0.648,-404.22316394799964
2024-02-01 06:20:00+00:00,2024-02-01 07:40:00+00:00,0.5994,0.5827,-312.6589624015123
2024-02-01 10:35:00+00:00,2024-02-01 13:00:00+00:00,0.5822,0.5955,163.04956801772096
2024-02-01 14:45:00+00:00,2024-02-01 15:45:00+00:00,0.6191,0.5958,-395.2853502680118
2024-02-01 17:10:00+00:00,2024-02-01 18:45:00+00:00,0.5966,0.578,-319.5962766833509
2024-02-01 21:15:00+00:00,2024-02-01 22:45:00+00:00,0.586,0.586,-42.550953841308
2024-02-01 23:55:00+00:00,2024-02-02 02:30:00+00:00,0.6037,0.5907,-222.64874825320658
2024-02-02 05:45:00+00:00,2024-02-02 11:30:00+00:00,0.5902,0.6158,311.4338961263138
2024-02-02 14:45:00+00:00,2024-02-02 17:15:00+00:00,0.6207,0.6259,28.122734309723455
2024-02-02 20:15:00+00:00,2024-02-02 21:00:00+00:00,0.6168,0.6094,-142.5544082744982
2024-02-02 21:30:00+00:00,2024-02-03 00:10:00+00:00,0.619,0.6132,-117.91654517572442
2024-02-03 04:45:00+00:00,2024-02-03 06:00:00+00:00,0.5845,0.5844,-41.745077491194024
2024-02-03 09:45:00+00:00,2024-02-03 11:15:00+00:00,0.5828,0.5783,-101.36317802507438
2024-02-03 14:40:00+00:00,2024-02-03 15:00:00+00:00,0.5759,0.5692,-130.14315847394937
2024-02-03 15:45:00+00:00,2024-02-03 18:55:00+00:00,0.5732,0.5734,-35.746028670149826
2024-02-03 21:25:00+00:00,2024-02-03 23:30:00+00:00,0.571,0.569,-64.56041403410927
2024-02-04 01:15:00+00:00,2024-02-04 04:10:00+00:00,0.5682,0.5649,-80.90965754519766
2024-02-04 09:30:00+00:00,2024-02-04 13:05:00+00:00,0.5427,0.5537,112.06412930877468
2024-02-04 13:45:00+00:00,2024-02-04 15:05:00+00:00,0.5601,0.557,-78.41320733847442
2024-02-05 03:15:00+00:00,2024-02-05 05:30:00+00:00,0.5284,0.5336,35.20829546013101
2024-02-05 07:00:00+00:00,2024-02-05 08:50:00+00:00,0.541,0.5475,51.08842624165845
2024-02-05 10:00:00+00:00,2024-02-05 12:30:00+00:00,0.5546,0.5602,37.144912038418624
2024-02-05 12:45:00+00:00,2024-02-05 13:20:00+00:00,0.568,0.5615,-120.60641572128225
2024-02-05 23:35:00+00:00,2024-02-06 01:05:00+00:00,0.5369,0.5318,-104.0987791077232
2024-02-06 02:40:00+00:00,2024-02-06 04:20:00+00:00,0.5343,0.5307,-82.6746487895407
2024-02-06 07:35:00+00:00,2024-02-06 10:05:00+00:00,0.5322,0.5301,-62.00245785453717
2024-02-06 13:35:00+00:00,2024-02-06 16:55:00+00:00,0.5164,0.5179,-14.451554002280318
2024-02-06 19:25:00+00:00,2024-02-06 21:25:00+00:00,0.52,0.5247,27.158637590509898
2024-02-06 22:35:00+00:00,2024-02-07 02:30:00+00:00,0.5287,0.5352,49.140757100483825
2024-02-07 05:55:00+00:00,2024-02-07 07:35:00+00:00,0.5204,0.5161,-90.0262037784396
2024-02-07 08:35:00+00:00,2024-02-07 17:10:00+00:00,0.5189,0.582,775.4782672279998
2024-02-07 19:00:00+00:00,2024-02-07 20:15:00+00:00,0.5785,0.5665,-190.3379676393197
2024-02-08 00:45:00+00:00,2024-02-08 01:30:00+00:00,0.5586,0.5511,-132.13353503112558
2024-02-08 01:55:00+00:00,2024-02-08 05:05:00+00:00,0.5599,0.5504,-153.82584457073608
2024-02-08 08:35:00+00:00,2024-02-08 11:35:00+00:00,0.547,0.5451,-57.85198511314866
2024-02-08 14:20:00+00:00,2024-02-08 16:40:00+00:00,0.5414,0.5329,-139.18837053243442
2024-02-08 17:40:00+00:00,2024-02-08 19:10:00+00:00,0.5331,0.5282,-93.04130915046244
2024-02-09 02:50:00+00:00,2024-02-09 03:55:00+00:00,0.505,0.5012,-80.56641116984883
2024-02-09 06:00:00+00:00,2024-02-09 08:10:00+00:00,0.5056,0.5018,-79.10623916548411
2024-02-09 11:45:00+00:00,2024-02-09 14:20:00+00:00,0.501,0.5071,44.31879280812791
2024-02-09 17:20:00+00:00,2024-02-09 19:00:00+00:00,0.5062,0.5018,-85.19657325019307
2024-02-09 20:05:00+00:00,2024-02-09 22:45:00+00:00,0.505,0.5144,82.82966162220873
2024-02-10 00:20:00+00:00,2024-02-10 04:25:00+00:00,0.5154,0.5192,14.431835462945855
2024-02-10 06:05:00+00:00,2024-02-10 06:55:00+00:00,0.5202,0.5144,-99.15960749223268
2024-02-10 11:30:00+00:00,2024-02-10 15:35:00+00:00,0.5049,0.5085,12.633616982356216
2024-02-10 16:40:00+00:00,2024-02-10 17:20:00+00:00,0.5111,0.5076,-71.05124242441798
2024-02-10 19:15:00+00:00,2024-02-10 20:20:00+00:00,0.5121,0.5099,-54.84530537429873
2024-02-10 20:45:00+00:00,2024-02-10 21:55:00+00:00,0.5133,0.5087,-81.12645990600231
2024-02-11 01:15:00+00:00,2024-02-11 07:50:00+00:00,0.5051,0.5103,29.990381062801134
2024-02-11 08:55:00+00:00,2024-02-11 10:40:00+00:00,0.5154,0.5142,-41.85678378825378
2024-02-11 12:00:00+00:00,2024-02-11 13:30:00+00:00,0.5169,0.5135,-65.23391624083251
2024-02-11 17:40:00+00:00,2024-02-11 19:15:00+00:00,0.5131,0.5101,-60.11705893379985
2024-02-11 19:40:00+00:00,2024-02-11 20:50:00+00:00,0.5142,0.5118,-52.750810856457974
2024-02-11 22:50:00+00:00,2024-02-11 23:15:00+00:00,0.5108,0.5045,-93.09412041996802
2024-02-12 00:15:00+00:00,2024-02-12 02:10:00+00:00,0.5075,0.5082,-19.11858119943099
2024-02-12 03:45:00+00:00,2024-02-12 04:20:00+00:00,0.5012,0.496,-80.06318287903105
2024-02-12 05:30:00+00:00,2024-02-12 06:00:00+00:00,0.5007,0.497,-63.235590999589476
2024-02-12 07:10:00+00:00,2024-02-12 09:10:00+00:00,0.4996,0.4981,-40.18179313971359
2024-02-12 14:15:00+00:00,2024-02-12 20:00:00+00:00,0.4814,0.4999,165.04112290249395
2024-02-12 20:45:00+00:00,2024-02-12 21:50:00+00:00,0.5061,0.5029,-57.64077529694441
2024-02-12 22:45:00+00:00,2024-02-12 23:25:00+00:00,0.5054,0.5046,-33.01980296424426
2024-02-13 00:10:00+00:00,2024-02-13 01:00:00+00:00,0.5095,0.5091,-28.698049644373896
2024-02-13 05:05:00+00:00,2024-02-13 09:40:00+00:00,0.5006,0.5049,17.41696364639938
2024-02-13 18:30:00+00:00,2024-02-13 22:05:00+00:00,0.4795,0.482,0.9203588628697617
2024-02-14 01:20:00+00:00,2024-02-14 04:35:00+00:00,0.4772,0.4789,-7.101984239712692
2024-02-14 05:05:00+00:00,2024-02-14 09:35:00+00:00,0.4852,0.4908,31.436658604809054
2024-02-14 11:30:00+00:00,2024-02-14 15:05:00+00:00,0.4997,0.5104,79.17171395600235
2024-02-14 15:50:00+00:00,2024-02-14 16:20:00+00:00,0.5143,0.5049,-113.84121110907017
2024-02-14 18:40:00+00:00,2024-02-14 22:20:00+00:00,0.5069,0.5207,105.40734024212998
2024-02-14 22:40:00+00:00,2024-02-15 01:20:00+00:00,0.5283,0.5248,-56.2570404120097
2024-02-15 02:25:00+00:00,2024-02-15 05:35:00+00:00,0.5277,0.5292,-10.36523636939819
2024-02-15 06:45:00+00:00,2024-02-15 11:45:00+00:00,0.5333,0.547,97.43110810964754
2024-02-15 14:35:00+00:00,2024-02-15 15:30:00+00:00,0.5448,0.5336,-122.4896032136603
2024-02-15 18:15:00+00:00,2024-02-15 20:20:00+00:00,0.5205,0.5191,-35.81770691046131
2024-02-15 23:45:00+00:00,2024-02-16 00:35:00+00:00,0.5169,0.5117,-69.15045882207596
2024-02-16 01:15:00+00:00,2024-02-16 04:50:00+00:00,0.5184,0.5262,45.021547570172515
2024-02-16 10:30:00+00:00,2024-02-16 11:55:00+00:00,0.5172,0.5191,-6.10168116658042
2024-02-16 12:35:00+00:00,2024-02-16 14:05:00+00:00,0.5255,0.5248,-28.51923431164596
2024-02-16 16:15:00+00:00,2024-02-16 17:10:00+00:00,0.5192,0.5085,-113.69781846445585
2024-02-16 21:30:00+00:00,2024-02-16 22:50:00+00:00,0.5091,0.5079,-31.7489750507184
2024-02-16 23:10:00+00:00,2024-02-17 01:25:00+00:00,0.5137,0.5116,-38.710650095795245
2024-02-17 03:20:00+00:00,2024-02-17 05:20:00+00:00,0.5112,0.5077,-49.72169250122806
2024-02-17 05:45:00+00:00,2024-02-17 08:30:00+00:00,0.5126,0.5138,-11.053377536427433
2024-02-17 15:55:00+00:00,2024-02-18 00:50:00+00:00,0.497,0.5009,11.53201687719229
2024-02-18 03:50:00+00:00,2024-02-18 06:35:00+00:00,0.5026,0.5127,61.449710457734
2024-02-18 07:20:00+00:00,2024-02-18 12:35:00+00:00,0.5158,0.5262,62.33664147446143
2024-02-18 14:40:00+00:00,2024-02-18 19:20:00+00:00,0.5326,0.5422,54.066755215497324
2024-02-18 22:15:00+00:00,2024-02-18 22:45:00+00:00,0.5461,0.5395,-71.72553674751452
2024-02-19 00:25:00+00:00,2024-02-19 01:20:00+00:00,0.5416,0.5349,-71.32055073447737
2024-02-19 03:15:00+00:00,2024-02-19 08:40:00+00:00,0.5398,0.5427,1.3919745341227099
2024-02-19 11:45:00+00:00,2024-02-19 13:00:00+00:00,0.5394,0.5327,-69.61225616245201
2024-02-19 18:20:00+00:00,2024-02-19 20:10:00+00:00,0.5323,0.5256,-68.70817677476634
2024-02-19 20:50:00+00:00,2024-02-19 22:40:00+00:00,0.5305,0.53,-22.758653855299144
2024-02-20 02:55:00+00:00,2024-02-20 03:35:00+00:00,0.5215,0.5178,-45.71780067248983
2024-02-20 04:35:00+00:00,2024-02-20 07:30:00+00:00,0.5195,0.5211,-7.212875993525358
2024-02-20 08:45:00+00:00,2024-02-20 12:40:00+00:00,0.5173,0.5227,19.934722497078837
2024-02-20 13:40:00+00:00,2024-02-20 14:25:00+00:00,0.5239,0.5111,-108.50890290357302
2024-02-20 19:35:00+00:00,2024-02-21 00:10:00+00:00,0.493,0.5034,57.173931879927295
2024-02-21 05:30:00+00:00,2024-02-21 05:55:00+00:00,0.494,0.4895,-50.83554835183122
2024-02-21 08:30:00+00:00,2024-02-21 09:25:00+00:00,0.4889,0.4815,-71.13381388122662
2024-02-21 12:20:00+00:00,2024-02-21 13:30:00+00:00,0.4775,0.4704,-68.44008928960329
2024-02-21 15:25:00+00:00,2024-02-21 17:40:00+00:00,0.4673,0.4628,-49.17073241153366
2024-02-21 20:00:00+00:00,2024-02-22 00:20:00+00:00,0.4624,0.4711,45.36528421794765
2024-02-22 03:45:00+00:00,2024-02-22 11:05:00+00:00,0.4629,0.4812,114.50686590404393
2024-02-22 14:35:00+00:00,2024-02-22 16:30:00+00:00,0.4759,0.4741,-30.077554350281844
2024-02-22 17:35:00+00:00,2024-02-22 19:40:00+00:00,0.4767,0.4802,7.804104066590298
2024-02-22 20:30:00+00:00,2024-02-22 21:25:00+00:00,0.4841,0.4786,-55.04282266547716
2024-02-22 22:55:00+00:00,2024-02-22 23:20:00+00:00,0.4761,0.4702,-57.26455043579335
2024-02-23 00:45:00+00:00,2024-02-23 02:00:00+00:00,0.4724,0.4693,-37.24909055064427
2024-02-23 02:45:00+00:00,2024-02-23 03:05:00+00:00,0.475,0.4679,-63.146642291011176
2024-02-23 04:30:00+00:00,2024-02-23 07:35:00+00:00,0.4731,0.4723,-20.7081220827763
2024-02-23 08:15:00+00:00,2024-02-23 09:05:00+00:00,0.48,0.4718,-67.37413308432633
2024-02-23 11:00:00+00:00,2024-02-23 12:10:00+00:00,0.4784,0.4736,-44.65615472740228
2024-02-23 14:25:00+00:00,2024-02-23 16:15:00+00:00,0.475,0.4765,-5.427030807110896
2024-02-23 17:25:00+00:00,2024-02-23 20:45:00+00:00,0.4896,0.4896,-14.505297605081523
2024-02-23 23:35:00+00:00,2024-02-24 01:30:00+00:00,0.4821,0.4784,-36.29322523828205
2024-02-24 03:00:00+00:00,2024-02-24 08:55:00+00:00,0.4809,0.5063,134.17941801075995
2024-02-24 09:25:00+00:00,2024-02-24 13:55:00+00:00,0.513,0.5146,-5.578247619208469
2024-02-24 17:00:00+00:00,2024-02-24 19:00:00+00:00,0.497,0.4925,-40.917558433865
2024-02-24 19:50:00+00:00,2024-02-24 21:05:00+00:00,0.4982,0.4928,-45.23105119022466
2024-02-25 01:00:00+00:00,2024-02-25 03:10:00+00:00,0.4918,0.4903,-22.546726606180982
2024-02-25 04:10:00+00:00,2024-02-25 07:20:00+00:00,0.4956,0.4959,-12.180220287402335
2024-02-25 11:40:00+00:00,2024-02-25 12:30:00+00:00,0.4941,0.4918,-26.42648432850592
2024-02-25 13:00:00+00:00,2024-02-25 15:50:00+00:00,0.4959,0.4935,-26.538124256559513
2024-02-25 17:45:00+00:00,2024-02-25 20:45:00+00:00,0.4956,0.4956,-13.318876313830515
2024-02-25 22:20:00+00:00,2024-02-26 00:15:00+00:00,0.4974,0.4947,-27.429785755397006
2024-02-26 03:35:00+00:00,2024-02-26 05:25:00+00:00,0.4933,0.4908,-26.077798226807772
2024-02-26 05:50:00+00:00,2024-02-26 06:15:00+00:00,0.4941,0.491,-28.756421678677725
2024-02-26 13:05:00+00:00,2024-02-26 20:35:00+00:00,0.4806,0.5023,100.469836090429
2024-02-27 00:00:00+00:00,2024-02-27 00:35:00+00:00,0.5028,0.5002,-26.415817860921834
2024-02-27 01:00:00+00:00,2024-02-27 02:20:00+00:00,0.5053,0.505,-14.337312148810724
2024-02-27 03:05:00+00:00,2024-02-27 04:00:00+00:00,0.5127,0.5073,-39.278286292840676
2024-02-27 05:00:00+00:00,2024-02-27 07:35:00+00:00,0.5184,0.519,-9.56560496576958
2024-02-27 18:30:00+00:00,2024-02-27 19:40:00+00:00,0.5041,0.5013,-25.93430010823249
2024-02-27 22:00:00+00:00,2024-02-27 23:15:00+00:00,0.5056,0.5026,-26.44789772996046
2024-02-28 00:35:00+00:00,2024-02-28 01:40:00+00:00,0.5067,0.5018,-34.90442601369887
2024-02-28 04:35:00+00:00,2024-02-28 06:05:00+00:00,0.5037,0.5033,-13.551512007299152
2024-02-28 07:20:00+00:00,2024-02-28 09:10:00+00:00,0.5056,0.5033,-22.05582791843426
2024-02-28 09:35:00+00:00,2024-02-28 11:45:00+00:00,0.513,0.5224,30.191824650086346
2024-02-28 16:10:00+00:00,2024-02-28 17:10:00+00:00,0.5191,0.5173,-19.438554270756867
2024-02-28 21:30:00+00:00,2024-02-29 06:20:00+00:00,0.4943,0.5493,239.91601682086184
2024-02-29 07:45:00+00:00,2024-02-29 10:00:00+00:00,0.5503,0.5624,42.14269563861444
2024-02-29 13:00:00+00:00,2024-02-29 14:55:00+00:00,0.5665,0.576,29.522263597001256
2024-02-29 19:40:00+00:00,2024-02-29 21:10:00+00:00,0.564,0.5557,-49.95306804860411
2024-02-29 23:20:00+00:00,2024-03-01 06:00:00+00:00,0.5503,0.6173,288.11167107157735
2024-03-01 08:50:00+00:00,2024-03-01 13:30:00+00:00,0.6091,0.6261,62.731098759107226
2024-03-01 17:45:00+00:00,2024-03-01 19:30:00+00:00,0.6185,0.6102,-51.45248734645929
