date,equity
2024-12-20,101227.75764110158
2024-12-21,101343.73964507638
2024-12-22,101483.62690212004
2024-12-23,101601.60897449736
2024-12-24,102152.78870699176
2024-12-25,102152.78870699176
2024-12-26,102152.78870699176
2024-12-27,102298.41015647819
2024-12-28,102322.4520852511
2024-12-29,102388.84742369417
2024-12-30,102443.58084450367
2024-12-31,102513.67680499329
2025-01-01,102504.96073898241
2025-01-02,102676.8156365888
2025-01-03,102904.36258767192
2025-01-04,103022.09769102185
2025-01-05,103022.09769102185
2025-01-06,103022.09769102185
2025-01-07,103042.14153483523
2025-01-08,103042.14153483523
2025-01-09,103042.14153483523
2025-01-10,103042.14153483523
2025-01-11,103106.3698249372
2025-01-12,103106.3698249372
2025-01-13,103178.97355555756
2025-01-14,103615.8203326976
2025-01-15,103762.175251166
2025-01-16,103760.44685881243
2025-01-17,104068.47650221226
2025-01-18,104135.88251755053
2025-01-19,104606.07194393846
2025-01-20,104898.66188047848
2025-01-21,105145.57202095393
2025-01-22,105179.80710115048
2025-01-23,105168.0712443284
2025-01-24,105615.31391311575
2025-01-25,105615.31391311575
2025-01-26,105615.31391311575
2025-01-27,105829.68926008003
2025-01-28,105969.07662377034
2025-01-29,106027.52260619667
2025-01-30,106128.43654086179
2025-01-31,106235.43004752931
2025-02-01,106235.43004752931
2025-02-02,106235.43004752931
2025-02-03,107015.80095955203
2025-02-04,107594.81982505077
2025-02-05,107620.2196170892
2025-02-06,107642.66789563523
2025-02-07,107684.5963664809
2025-02-08,107723.14633715758
2025-02-09,107753.44944828084
2025-02-10,107774.51228536923
2025-02-11,107877.59751324262
2025-02-12,108056.53608173403
2025-02-13,108310.78286322599
2025-02-14,108450.68491559675
2025-02-15,108566.55933621488
2025-02-16,108611.4938348839
2025-02-17,108717.6891415129
2025-02-18,108731.75533232563
2025-02-19,108856.23462533028
2025-02-20,108889.07344257875
2025-02-21,108906.59030839129
2025-02-22,108920.21762885059
2025-02-23,108920.21762885059
2025-02-24,108920.21762885059
2025-02-25,108978.41698812757
2025-02-26,109026.23921547912
2025-02-27,109051.29900064251
2025-02-28,109402.33598482044
2025-03-01,109402.33598482044
2025-03-02,109875.22458587796
2025-03-03,110354.5906662103
2025-03-04,110392.48412251806
2025-03-05,110501.86225606463
2025-03-06,110501.86225606463
2025-03-07,110581.61360135327
2025-03-08,110581.61360135327
2025-03-09,110607.50903924147
2025-03-10,110646.49844057277
2025-03-11,110709.82712917475
2025-03-12,110869.75283313628
2025-03-13,110880.38995620541
2025-03-14,111165.38414756098
2025-03-15,111180.08809316768
2025-03-16,111180.08809316768
2025-03-17,111240.09189157194
2025-03-18,111240.09189157194
2025-03-19,111470.66777967445
2025-03-20,111470.66777967445
2025-03-21,111612.49843774813
2025-03-22,111641.98976056367
2025-03-23,111665.82137468131
2025-03-24,111857.69370646743
2025-03-25,111857.69370646743
