number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_epochs,params_optimizer,params_use_scheduler,params_weight_decay,state
0,0.004839685420447671,2025-10-13 18:02:45.572248,2025-10-13 18:03:40.796584,0 days 00:00:55.224336,256,0.22888882449566572,0.0007604660407113441,41,adamw,False,1.7665328376804573e-06,COMPLETE
1,0.004839685420447671,2025-10-13 18:03:40.796629,2025-10-13 18:04:48.387840,0 days 00:01:07.591211,64,0.03737631758576565,9.217495096331882e-05,41,sgd,False,2.48157863354557e-08,COMPLETE
2,0.0048344210780759,2025-10-13 18:04:48.387873,2025-10-13 18:05:22.808170,0 days 00:00:34.420297,256,0.37151642771473664,0.0007767600995572343,14,adamw,False,5.0616627011503405e-05,COMPLETE
3,0.0033935280572051875,2025-10-13 18:05:22.808204,2025-10-13 18:06:11.743416,0 days 00:00:48.935212,128,0.17964539156324788,0.0008685426507293748,60,adamw,True,1.2163484206647883e-06,COMPLETE
4,0.0033935280572051875,2025-10-13 18:06:11.743448,2025-10-13 18:06:40.334740,0 days 00:00:28.591292,256,0.27339886292822085,1.1281510674673128e-05,39,adam,False,1.9745392560170258e-06,COMPLETE
5,0.0,2025-10-13 18:06:40.334771,2025-10-13 18:06:43.141240,0 days 00:00:02.806469,256,0.46408440719387345,0.00015892045130641336,22,adamw,True,5.116047240745902e-08,PRUNED
6,0.0,2025-10-13 18:06:43.141264,2025-10-13 18:06:46.949798,0 days 00:00:03.808534,128,0.12309428061706773,0.0001679700141885372,54,sgd,False,2.3534068774510994e-05,PRUNED
7,0.002185526954832443,2025-10-13 18:06:46.949824,2025-10-13 18:06:54.630984,0 days 00:00:07.681160,64,0.2824235870512626,3.620746412535643e-05,29,adam,False,2.0662764329018617e-07,PRUNED
8,0.007704345732514746,2025-10-13 18:06:54.631002,2025-10-13 18:07:34.680487,0 days 00:00:40.049485,256,0.0208041757028031,0.00035966592392080483,46,adamw,True,5.613327721919392e-06,COMPLETE
9,0.0024271844660194173,2025-10-13 18:07:34.680517,2025-10-13 18:07:37.485157,0 days 00:00:02.804640,256,0.0091239124507703,0.000309115204524182,51,adamw,True,9.859786254117648e-06,PRUNED
