[2025-06-02 09:42:22.523] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:42:22.729] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:42:27.363] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:42:27.544] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:42:43.883] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:42:44.057] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:47:37.093] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:47:37.301] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:47:40.048] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:47:40.229] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:48:15.734] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:48:15.917] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
[2025-06-02 09:51:26.000] INFO: 🚀 Ultra-Fast Bot Initializing | {"wallet":"E2CeTQsw22hRSfBNJdxtnB5d9XYixzfWA6KwyTqLyCtj"}
[2025-06-02 09:51:26.249] ERROR: Fatal error: 401 Unauthorized: {"jsonrpc":"2.0","error":{"code":-32401,"message":"This feature is only available for business plans or above. Please upgrade if you would like to gain access"}} | {"stack":"Error: 401 Unauthorized: {\"jsonrpc\":\"2.0\",\"error\":{\"code\":-32401,\"message\":\"This feature is only available for business plans or above. Please upgrade if you would like to gain access\"}}\n    at ClientBrowser.callServer (/Users/malcolm/Documents/GitHub/PDMC/node_modules/@solana/web3.js/src/connection.ts:1699:18)\n    at processTicksAndRejections (node:internal/process/task_queues:105:5)"}
